@RELATION weather2_clean60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
31.7,52.9,20.92,1006.06,492,0
25.8,74.1,20.84,1007.61,212,0
28.3,84.9,25.52,1006.17,241,0
32.4,49.4,20.45,1003.57,846,0
26.2,84.1,23.3,1007.46,239,0
36.4,43.5,22.01,1009.34,941,0
29,68.8,22.69,1008.3,213,0
28.9,64.7,21.59,1006.9,213,0
28.4,71.1,22.66,1008.87,213,0
28.4,76.5,23.87,1007.27,212,0
33.9,49.1,21.72,1007.99,874,0
27.3,72.4,21.9,1006.54,213,0
28.9,77.4,24.55,1007.49,241,0
29.5,66.8,22.68,1010.99,243,0
30.8,61.8,22.63,1006.16,606,0
28,70.7,22.18,1008.37,213,0
30.1,67.2,23.35,1008.22,243,0
33.1,52.5,22.09,1006.21,909,0
26.7,79,22.75,1008.44,243,0
32.6,58.2,23.32,1008.68,837,0
29.8,70,23.74,1009.55,243,0
34.3,66.9,27.27,1005.31,924,0
27.8,77.4,23.48,1007.97,241,0
33.5,54.7,23.13,1003.68,933,0
28,84.6,25.16,1006.29,916,0
28.2,82.5,24.94,1005.9,818,0
30.2,68.8,23.83,1004.7,496,0
27.2,86.4,24.73,1009.99,176,0
27,83,23.86,1007.02,239,0
32.7,48.8,20.53,1004.96,903,0
29.3,59.7,20.65,1006.09,213,0
30.4,59.6,21.66,1003.74,213,0
29.1,62.7,21.26,1005.9,213,0
29.2,72.6,23.77,1008.87,213,0
27.4,75.1,22.6,1008.68,243,0
33.2,47.2,20.44,1004.31,894,0
28.9,65.4,21.76,1005.98,213,0
42.7,26.3,19.33,1009.78,913,0
27.4,81.8,24.01,1009.61,243,0
29.6,65.1,22.35,1004.5,913,0
26.6,80.6,22.99,1008.95,243,0
28.9,78.1,24.7,1007.43,241,0
28.6,76.1,23.98,1007.01,239,0
27.4,83.5,24.36,1010.47,243,0
28.5,71.2,22.78,1008.11,213,0
29,62,20.98,1005.22,213,0
31,51.9,19.96,1007.49,855,0
29.5,68,22.97,1007.64,213,0
27.8,75.2,23.01,1008.46,243,0
30.2,65.9,23.12,1004.87,866,0
32.3,60.1,23.57,1007.66,243,0
28.9,74.6,23.93,1008.46,243,0
27.1,75,22.29,1008.76,541,0
29.8,63.8,22.21,1004.3,213,0
25.7,92.1,24.32,1008.43,0,0
50.3,20.7,21.74,1009.78,1019,0
36,46,22.56,1006.76,972,0
26.9,72.2,21.47,1005.95,213,0
28.2,82.7,24.98,1005.63,905,0
28,70.3,22.09,1007.76,213,0
28.1,69.6,22.02,1007.18,213,0
34.2,50.6,22.49,1005.88,957,0
29.6,75.4,24.79,1008.16,241,0
30.8,52.9,20.09,1004.77,213,0
50.8,20.6,22.07,1009.77,1019,0
30.1,61.7,21.94,1006.99,213,0
28.8,63,21.06,1005.43,213,0
34.4,49.1,22.18,1007.37,931,0
28.6,66.5,21.75,1007.23,213,0
28.9,74.2,23.84,1007.12,210,0
33.3,54,22.74,1003.35,987,0
39.5,35.8,21.57,1005.66,1019,0
36.5,40.3,20.85,1008.63,920,0
26.5,81.6,23.09,1006.36,212,0
26.9,66.6,20.16,1008.72,213,0
27.5,72.3,22.07,1006.92,213,0
31.7,50.4,20.13,1006.5,781,0
31.4,62.7,23.43,1005.27,967,0
28.8,71.4,23.11,1009.12,935,0
29,61.7,20.91,1008.2,213,0
30.5,66.7,23.6,1005.53,874,0
29.6,63.8,22.02,1004.32,213,0
28.9,62.9,21.12,1006.42,213,0
36.5,37.6,19.73,1005.54,907,0
27.6,83.6,24.57,1005.69,401,0
28.4,75.9,23.74,1007.33,212,0
30.1,63.5,22.41,1005.09,212,1
30.2,70.8,24.31,1008.57,241,0
28.2,74.6,23.26,1008.57,243,0
27.8,75.5,23.07,1008.1,241,0
31.5,51.1,20.17,1006.63,777,0
33.4,57.3,23.81,1005.27,704,0
26,91.5,24.51,1008.28,239,0
36.7,45.8,23.13,1009.84,950,0
28.9,61.8,20.84,1008.26,213,0
26.3,84.9,23.56,1006.66,234,0
34.8,42.3,20.11,1005.33,898,0
27.2,84.3,24.32,1010.28,241,0
35.8,44.1,21.69,1010.18,924,0
24,90.9,22.42,1008.21,208,0
26.9,72.5,21.54,1005.86,213,0
34.3,43.6,20.15,1005.64,857,0
26.3,69.7,20.32,1008.34,213,0
29.7,76.1,25.04,1009.13,241,0
26.2,87.9,24.04,1007.16,239,0
27.7,61.4,19.6,1009.19,859,0
33.4,57,23.72,1005.4,673,0
29.2,71.6,23.54,1008.6,213,0
29.8,70.5,23.86,1009.28,243,0
27.1,80.2,23.39,1008.48,243,0
33.7,50.1,21.87,1009.1,970,0
32.3,53.5,21.66,1010.59,918,0
30.2,73.3,24.89,1008.77,241,0
28.6,74.7,23.67,1009.34,243,0
30.3,68.8,23.93,1006.26,764,0
28.3,71.6,22.68,1009.06,241,0
28,74.4,23.02,1008.45,241,0
26.4,83.5,23.38,1006.3,212,0
26.3,85.7,23.71,1006.67,234,0
33.3,57.8,23.86,1005.23,716,0
32,59.9,23.24,1008.66,784,0
34.3,51.8,22.97,1006.15,944,0
29.4,57.9,20.25,1009.75,866,0
29,62.3,21.06,1005.25,213,0
29.9,64.8,22.56,1005.46,212,0
30.4,60.6,21.93,1003.88,213,0
38.3,32,18.71,1003.8,915,0
24.2,91.6,22.75,1007.58,206,1
32.8,48.2,20.42,1005.17,902,0
32.4,59.5,23.5,1010.36,928,0
33.3,52.6,22.3,1006.08,907,0
36,38.4,19.62,1006.33,907,0
27,84.9,24.24,1007.24,239,0
30.5,51.6,19.41,1004.72,956,0
32.1,54.7,21.84,1003.42,837,0
28.8,87.4,26.5,1006.62,238,0
28.1,79.8,24.28,1007.24,212,0
26.7,87.3,24.41,1007.41,239,1
31.1,63.9,23.46,1004.09,829,0
29.7,64.8,22.37,1008.19,213,0
33.8,51.6,22.45,1004.97,956,0
26.1,84.5,23.28,1007.22,239,0
26.6,88.2,24.49,1008.99,241,0
27.5,70.6,21.68,1009.12,213,0
28.7,79.3,24.76,1007.63,241,0
32.1,49.1,20.08,1006.27,604,0
32.2,57.5,22.75,1005.32,902,0
36.9,42.4,22.04,1008.65,930,0
35,43.8,20.86,1007.05,911,0
36.4,40.8,20.96,1007.14,883,0
31.3,52,20.27,1006.54,771,0
34.8,49.6,22.71,1008.91,965,0
33.2,57.9,23.8,1005.17,732,0
29.3,71.7,23.66,1008.92,213,0
29.6,67.5,22.95,1009.84,241,0
30.1,63.5,22.41,1005.17,790,0
26.2,74.7,21.35,1005.54,213,0
30.3,61.7,22.13,1010.12,243,0
29.8,64,22.26,1004.23,213,0
28.1,74.7,23.18,1008.56,243,0
30,72.9,24.61,1005.13,241,0
26.8,82.6,23.59,1006.75,212,0
28.8,63.1,21.08,1005.93,213,0
32.2,62.2,24.05,1005.68,879,0
29.4,66.9,22.61,1010.96,243,0
34.2,46.8,21.21,1005.09,846,0
29,66.3,22.08,1009.71,241,0
27.4,66.4,20.58,1008.98,213,0
31.8,49.3,19.87,1005.75,907,0
33.2,53.1,22.37,1003.56,933,0
27,88.8,24.99,1005.42,241,0
30.2,59.1,21.33,1004.86,699,0
29.2,71.5,23.52,1008.36,213,0
49.8,21.6,22.03,1009.78,1019,0
24.2,91.9,22.8,1007.29,206,0
27.6,71.5,21.98,1008.35,213,0
29.8,63.5,22.13,1008.02,213,0
34.7,45.2,21.1,1008.19,876,1
26.2,83.6,23.2,1007.58,243,0
26.3,75.5,21.62,1006.76,210,1
27.4,80,23.64,1008.16,239,0
27.8,79.8,23.99,1009.33,241,0
26.2,84.4,23.36,1007.4,239,0
31,46.7,18.27,1009.21,874,0
32.3,59.8,23.49,1007.58,243,0
29.5,67.5,22.85,1007.53,213,0
34.3,60.2,25.48,1008.93,987,0
26.2,75.8,21.59,1006.67,212,1
32.8,49,20.69,1007.53,874,0
29.8,63.8,22.21,1004.31,213,0
26.4,91.2,24.85,1008.11,217,0
34.5,45.2,20.92,1005.17,859,0
32.5,50.3,20.84,1003.69,848,0
29.9,62.8,22.04,1007.23,213,0
27.6,82,24.25,1005.58,898,1
31.9,49,19.86,1006.4,874,0
28.2,70.9,22.42,1008.34,213,0
29.8,70.1,23.76,1009.29,243,0
36.4,37.7,19.68,1005.86,902,0
29.8,55.2,19.85,1009.67,877,0
26.5,79.9,22.75,1006.41,212,0
29.9,65.5,22.73,1010.57,243,0
26.8,84,23.87,1008.69,243,0
28.3,80.7,24.66,1008.54,238,0
32.9,55.2,22.73,1005.58,686,0
30.7,53.2,20.09,1005.17,213,0
32.2,50,20.46,1009.47,902,0
27.5,86.7,25.08,1005.21,241,0
28.2,73.4,22.99,1008.14,213,0
48.3,25.7,23.66,1009.51,1015,0
37.1,41.4,21.82,1008.88,930,0
26.9,91.1,25.32,1008.89,896,0
28,78,23.8,1008.38,213,0
33.5,44.6,19.8,1008.34,894,0
29,63.8,21.45,1006.82,213,0
34.1,43,19.75,1006.78,896,0
37.3,34.3,18.95,1003.91,874,0
29.9,71.5,24.19,1008.91,241,0
26.1,69.4,20.06,1008.2,554,0
28.1,70,22.11,1007.25,212,1
30.4,57.8,21.16,1004.75,816,0
29.2,76.5,24.64,1006.33,241,0
26.7,86.4,24.24,1009.91,241,0
35.6,41.9,20.68,1006.86,916,0
50.5,22.2,23.06,1009.62,1017,0
28.9,78.6,24.81,1007.65,241,0
37.2,35.9,19.6,1004.42,911,0
27.1,80.8,23.52,1008.25,239,0
29.3,69.3,23.09,1010.83,243,0
32.4,59,23.36,1005.48,935,0
32.3,58.9,23.24,1005.65,922,0
28.9,78.1,24.7,1007.47,241,0
30.3,58.4,21.23,1004.64,844,0
32.7,48.5,20.43,1007.32,903,0
29.3,59.4,20.57,1007.28,213,0
31.5,49.8,19.76,1006.63,874,0
32.6,55.3,22.48,1008.01,879,0
27.2,81.9,23.84,1009.46,243,0
29.6,75.6,24.83,1008.31,241,0
27.5,87.6,25.26,1005.31,241,0
24.2,91.7,22.76,1007.55,206,1
29.6,73.6,24.38,1005.41,241,0
32.1,63.4,24.28,1009,241,0
28.5,77.2,24.12,1007.59,241,0
32.9,59.3,23.91,1005.06,907,0
26.4,69.6,20.39,1008.44,213,0
29,76.4,24.43,1006.09,236,0
31.7,50.7,20.23,1006.36,277,0
36,43.9,21.8,1007,972,0
26.7,84.3,23.83,1006.19,210,0
29,77.6,24.69,1007.3,241,0
31.1,51.9,20.06,1007.52,850,0
32.5,50.1,20.77,1005.78,647,0
34.8,44.6,20.97,1005.62,861,0
28.8,72.7,23.41,1010.54,243,0
35.1,48.4,22.58,1010.58,943,0
34.2,51.1,22.65,1005.49,956,0
28.5,75,23.64,1007.22,212,0
