@RELATION weather_clean_2hr_60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
27,79.7,23.19,1007.73,212,0
30.9,47.9,18.58,1009.22,868,0
27.4,88.8,25.39,1005.48,241,0
28.8,64.9,21.54,1006.99,213,0
26,71.5,20.45,1008.12,213,0
33.5,45.7,20.19,1005.44,900,0
51.3,21.2,22.95,1009.74,1019,0
28.2,75.8,23.52,1008.93,243,0
29.8,74.6,24.8,1009.44,241,0
27.5,82.3,24.21,1007.59,210,0
27.4,83,24.26,1007.58,212,0
39.1,38.4,22.37,1001.66,948,0
33.6,53.1,22.74,1004.79,957,0
26.2,87.9,24.04,1008.64,33,0
32.1,49.1,20.08,1006.27,604,0
28.6,75.5,23.84,1007.24,210,0
30.7,56.2,20.98,1007.63,213,0
31.1,62.5,23.09,1007.2,212,0
29.4,71.8,23.78,1009.69,818,0
26.6,76,22.02,1007.62,206,0
27.6,81.7,24.19,1005.79,212,0
26.2,84.1,23.3,1007.54,239,0
28.8,76.4,24.23,1008.87,212,0
27,85.8,24.42,1004.81,213,0
26.1,87.7,23.9,1006.94,239,0
30.3,54.5,20.11,1009.44,903,0
27.1,75.2,22.33,1008.86,825,0
29,73.8,23.85,1010.24,243,0
28,79.4,24.1,1007.22,210,0
26.9,91.1,25.32,1008.89,896,0
28.1,75.7,23.4,1009.15,243,0
32.4,58.6,23.25,1006.88,217,0
26.4,69.6,20.39,1008.44,213,0
27,82,23.66,1007.51,212,0
33.9,54.3,23.38,1008.94,959,0
29.1,73.4,23.86,1010.31,243,0
27.9,75.5,23.17,1008.36,243,0
33.5,52.7,22.52,1009.56,969,0
28.5,70.1,22.52,1009.17,241,0
26.1,69.4,20.06,1008.2,554,0
33.7,45.1,20.16,1007.58,719,0
28,74.4,23.02,1008.45,241,0
33.5,45.3,20.05,1008.07,877,0
32.2,50.4,20.59,1008.37,243,0
27.8,78.3,23.67,1008.17,241,0
31.8,51.3,20.51,1008.62,885,0
33.5,44.3,19.69,1005.93,889,0
29.1,77,24.65,1006.18,383,0
34.8,47.7,22.07,1010.62,939,0
32.2,62.2,24.05,1005.68,879,0
33.6,47.2,20.81,1005.19,896,0
28.5,75.6,23.77,1007.3,212,0
32.9,55.9,22.94,1005.59,732,0
35,49.7,22.93,1007.26,920,0
33.7,55.3,23.5,1006.56,924,0
28.2,70.9,22.42,1008.31,213,0
28.9,74.2,23.84,1007.12,210,0
27,74.8,22.15,1008.37,243,0
29.6,63.8,22.02,1004.32,213,0
34.1,46.1,20.88,1005.99,911,0
32.2,59.8,23.4,1009.47,874,0
26.2,92,24.8,1008.56,582,0
27.8,80,24.03,1005.78,212,0
26.7,82.4,23.45,1006.73,241,0
28.5,67.9,22,1008.62,213,0
32.4,57.5,22.94,1008.44,885,0
42.7,26.3,19.33,1009.78,913,0
31,62.1,22.89,1006.5,245,0
29.9,58.8,20.97,1005.96,213,0
32.2,59.6,23.34,1008.54,885,0
44.3,27.7,21.52,1007.34,941,0
29.9,66.6,23.01,1005.33,829,0
29.4,71,23.59,1005.4,818,0
32.8,49.6,20.88,1005.58,717,0
28.4,71.1,22.66,1008.94,213,0
27,85.5,24.36,1004.74,213,0
25.3,84.6,22.52,1010.86,243,0
33.8,51.9,22.54,1004.86,956,0
28.9,72.5,23.46,1010.32,243,0
31.2,52.7,20.4,1006.64,213,0
28,79.4,24.1,1007.12,212,0
34,51.9,22.73,1004.69,959,0
31.1,45.9,18.09,1008.38,883,0
29.1,76.5,24.55,1005.65,786,0
33.7,54.5,23.26,1005.54,943,0
33.6,44.1,19.71,1008.2,890,0
30.6,61,22.22,1010.09,243,0
27.9,70.7,22.09,1007.22,213,0
31.4,50.5,19.89,1006.34,851,0
31.4,62.1,23.27,1008.9,944,0
32.5,49.4,20.54,1007.38,900,0
28.3,77.7,24.03,1007.85,238,0
35.5,46.4,22.25,1006.67,969,0
37.4,38.5,20.91,1006.64,926,0
40.4,32.3,20.68,1006.19,969,0
29.4,85.8,26.77,1009,944,0
29.8,72.9,24.42,1010.34,887,0
31.2,51.6,20.06,1007.19,870,0
33.8,51.5,22.42,1010.57,920,0
27.5,72.2,22.05,1005.52,213,0
31,65.9,23.88,1004.26,435,0
28,77.4,23.68,1008.36,213,0
26.4,90.1,24.64,1007.97,238,0
31.7,52.5,20.8,1006.06,543,0
28.4,71.1,22.66,1008.81,212,0
27,83.6,23.98,1010.42,0,0
33.1,57.5,23.59,1006.55,928,0
26,74,21.01,1007.46,212,0
32.4,59,23.36,1006.19,243,0
28.5,74.7,23.57,1009.11,243,0
34.3,50.9,22.68,1004.93,933,0
32.8,51.9,21.62,1006.75,879,0
26,70,20.11,1007.63,213,0
31.3,50.4,19.77,1004.25,213,0
31.1,60.6,22.59,1006.56,243,0
28.1,83.6,25.06,1006.58,241,0
32.1,59.9,23.33,1005.93,388,0
31,57.7,21.69,1007.01,213,0
27,79.8,23.21,1007.31,212,0
24.9,78.2,20.84,1007.72,208,0
29.3,61.4,21.11,1005.06,213,0
34.5,48.4,22.04,1009.13,969,0
29.8,66.4,22.86,1010.53,243,0
29.6,65.8,22.53,1008.3,213,0
28.1,77.6,23.82,1008.37,213,0
30.7,56.7,21.12,1004.59,848,0
28.9,67.8,22.35,1009.53,241,0
32.3,60.1,23.57,1007.66,243,0
28.9,63.2,21.2,1006.18,213,0
29.4,71.8,23.78,1008.86,213,0
31.3,51.5,20.12,1006.48,213,0
28.3,77.3,23.95,1008.63,213,0
35.6,43.7,21.36,1006.81,916,0
28.9,69.6,22.78,1006.46,890,0
27.3,79,23.34,1005.66,755,0
27.7,73.1,22.44,1008.3,213,0
36,38.4,19.62,1006.33,907,0
28,70.7,22.18,1004.69,213,0
33.4,62.1,25.15,1006.04,792,0
25.9,67.8,19.49,1007.94,212,0
28.4,56.8,19.01,1009.36,863,0
26.7,71.7,21.17,1005.39,213,0
34.3,54.3,23.75,1004.37,972,0
28.1,77.8,23.86,1008.39,213,0
27.8,75.5,23.07,1008.1,241,0
28.7,74.6,23.74,1006.95,213,0
27.9,80.3,24.19,1007.97,212,0
30.2,68.8,23.83,1004.7,496,0
29.4,61.4,21.2,1008.13,213,0
32,54.9,21.8,1003.68,213,0
28.7,68.7,22.38,1008.62,213,0
40.5,38.8,23.78,1005.96,980,0
27.8,75.4,23.05,1008.49,243,0
29.4,76.9,24.92,1006.07,779,0
27.8,75.4,23.05,1008.38,243,0
38.5,40.9,22.87,1004.23,911,0
27.8,77.4,23.48,1007.97,241,0
28.9,72,23.34,1010.32,243,0
26.4,90.7,24.76,1007.72,239,0
26.4,85.2,23.71,1006.77,238,0
33.2,57.9,23.8,1005.17,732,0
31.4,65.4,24.13,1004.06,751,0
29.2,68.3,22.76,1010.93,243,0
37.4,38.8,21.03,1007.17,976,0
30.7,63,22.85,1004.14,844,0
28.3,83.9,25.32,1006.54,241,0
33.6,47.3,20.84,1007.33,903,0
29.2,71.6,23.54,1008.91,213,0
29,73.4,23.76,1007.15,212,0
34.8,48.3,22.28,1009.15,969,0
28.8,74.3,23.77,1007.43,212,0
27.3,85.3,24.61,1010.27,0,0
27.7,75.6,23,1005.73,213,0
33,59.2,23.98,1009.17,967,0
33.4,57.3,23.81,1005.27,704,0
26.3,90.6,24.64,1007.77,239,0
33.9,54.5,23.44,1008.68,924,0
29.7,75.1,24.82,1008.57,241,0
27.5,86.7,25.08,1005.21,241,0
33.7,55.5,23.56,1008.35,935,0
30.7,53.7,20.24,1006.48,498,0
36.4,41.2,21.12,1007.25,920,0
29.4,68,22.88,1007.36,245,0
27.4,75.1,22.6,1008.68,243,0
30.9,68.5,24.43,1006.37,831,0
27.1,83.1,23.98,1007.77,239,0
33.2,58.8,24.05,1006.86,935,0
29.7,66.7,22.84,1010.74,243,0
32.5,46.7,19.63,1003.7,809,0
27.8,79.9,24.01,1005.83,212,0
30.4,67.9,23.81,1006.14,823,0
29.8,58.6,20.82,1006,213,0
33.6,53.9,22.98,1005.15,941,0
28.4,67.8,21.88,1007.18,213,0
33.7,49,21.51,1006.72,911,0
29.8,59.8,21.15,1004.93,546,0
27.4,85.4,24.73,1010.07,241,0
26.4,90.4,24.7,1007.75,239,0
33.5,47.8,20.92,1005.22,894,0
27.6,83.8,24.61,1005.76,565,0
28.4,71.1,22.66,1008.93,213,0
26.5,79.9,22.75,1006.41,212,0
34,50.5,22.28,1007.54,894,0
27.8,78.5,23.72,1009.1,797,0
28.6,63.6,21.02,1008.44,213,0
39.2,40.6,23.38,1005.22,1008,0
27.9,84.7,25.08,1005.83,241,0
28.2,77.8,23.96,1003.59,784,0
42.9,40.6,26.67,1008.97,982,0
26.4,90,24.63,1007.95,238,0
32.8,56.8,23.11,1009.1,943,0
